10.133,3301.300,21.445,1.139,2.200,0
20.265,3380.600,21.599,1.145,2.200,1
30.398,3425.900,21.687,1.148,2.200,2
40.530,3457.300,21.749,1.151,2.200,3
50.663,3481.100,21.796,1.153,2.200,4
60.795,3500.300,21.834,1.155,2.200,5
70.927,3516.200,21.865,1.156,2.200,6
81.060,3529.800,21.892,1.157,2.200,7
91.192,3541.700,21.916,1.158,2.200,8
101.330,3552.100,21.937,1.159,2.200,9
111.460,3561.400,21.955,1.160,2.200,10
121.590,3569.800,21.972,1.161,2.200,11
131.720,3577.500,21.987,1.162,2.200,12
141.850,3584.500,22.001,1.162,2.200,13
151.990,3590.900,22.014,1.163,2.200,14
162.120,3596.900,22.026,1.164,2.200,15
172.250,3602.500,22.037,1.164,2.200,16
182.380,3607.700,22.048,1.165,2.200,17
192.520,3612.500,22.058,1.165,2.200,18
202.650,3617.100,22.067,1.166,2.200,19
212.780,3621.400,22.076,1.166,2.200,20
222.910,3625.500,22.084,1.167,2.200,21
233.050,3629.400,22.092,1.167,2.200,22
243.180,3633.000,22.099,1.167,2.200,23
10.133,3338.600,21.847,1.134,2.300,0
20.265,3424.700,22.018,1.139,2.300,1
30.398,3474.500,22.117,1.142,2.300,2
40.530,3509.500,22.188,1.145,2.300,3
50.663,3536.200,22.242,1.146,2.300,4
60.795,3557.900,22.286,1.148,2.300,5
70.927,3576.000,22.322,1.149,2.300,6
81.060,3591.500,22.354,1.150,2.300,7
91.192,3605.100,22.382,1.151,2.300,8
101.330,3617.100,22.406,1.152,2.300,9
111.460,3627.900,22.429,1.153,2.300,10
121.590,3637.600,22.449,1.153,2.300,11
131.720,3646.500,22.467,1.154,2.300,12
141.850,3654.700,22.484,1.155,2.300,13
151.990,3662.300,22.500,1.155,2.300,14
162.120,3669.300,22.514,1.156,2.300,15
172.250,3675.900,22.528,1.156,2.300,16
182.380,3682.000,22.540,1.157,2.300,17
192.520,3687.800,22.552,1.157,2.300,18
202.650,3693.200,22.564,1.158,2.300,19
212.780,3698.400,22.574,1.158,2.300,20
222.910,3703.300,22.584,1.158,2.300,21
233.050,3707.900,22.594,1.159,2.300,22
243.180,3712.300,22.603,1.159,2.300,23
10.133,3365.500,22.221,1.131,2.400,0
20.265,3456.700,22.406,1.135,2.400,1
30.398,3510.000,22.515,1.138,2.400,2
40.530,3547.700,22.593,1.140,2.400,3
50.663,3576.700,22.653,1.142,2.400,4
60.795,3600.300,22.702,1.143,2.400,5
70.927,3620.200,22.744,1.144,2.400,6
81.060,3637.300,22.780,1.145,2.400,7
91.192,3652.300,22.811,1.146,2.400,8
101.330,3665.600,22.839,1.146,2.400,9
111.460,3677.600,22.864,1.147,2.400,10
121.590,3688.500,22.887,1.148,2.400,11
131.720,3698.500,22.909,1.148,2.400,12
141.850,3707.700,22.928,1.149,2.400,13
151.990,3716.200,22.946,1.149,2.400,14
162.120,3724.200,22.963,1.150,2.400,15
172.250,3731.600,22.979,1.150,2.400,16
182.380,3738.500,22.994,1.151,2.400,17
192.520,3745.100,23.008,1.151,2.400,18
202.650,3751.300,23.021,1.151,2.400,19
212.780,3757.200,23.033,1.152,2.400,20
222.910,3762.700,23.045,1.152,2.400,21
233.050,3768.000,23.057,1.152,2.400,22
243.180,3773.100,23.067,1.153,2.400,23
10.133,3384.300,22.572,1.128,2.500,0
20.265,3479.300,22.768,1.133,2.500,1
30.398,3535.200,22.885,1.135,2.500,2
40.530,3574.900,22.969,1.137,2.500,3
50.663,3605.700,23.034,1.138,2.500,4
60.795,3630.800,23.088,1.139,2.500,5
70.927,3652.000,23.133,1.140,2.500,6
81.060,3670.300,23.172,1.141,2.500,7
91.192,3686.500,23.207,1.142,2.500,8
101.330,3700.800,23.238,1.142,2.500,9
111.460,3713.800,23.266,1.143,2.500,10
121.590,3725.600,23.291,1.143,2.500,11
131.720,3736.400,23.315,1.144,2.500,12
141.850,3746.400,23.337,1.144,2.500,13
151.990,3755.700,23.357,1.145,2.500,14
162.120,3764.400,23.376,1.145,2.500,15
172.250,3772.500,23.393,1.146,2.500,16
182.380,3780.100,23.410,1.146,2.500,17
192.520,3787.300,23.426,1.146,2.500,18
202.650,3794.100,23.441,1.147,2.500,19
212.780,3800.600,23.455,1.147,2.500,20
222.910,3806.700,23.468,1.147,2.500,21
233.050,3812.500,23.481,1.148,2.500,22
243.180,3818.100,23.493,1.148,2.500,23
