81.06,3580.50,22.27,1.15,2.28,7.00
91.20,3593.80,22.29,1.15,2.28,8.00
101.33,3605.50,22.32,1.15,2.28,9.00
111.46,3616.00,22.34,1.15,2.28,10.00
121.60,3625.50,22.36,1.15,2.28,11.00
131.73,3634.20,22.37,1.16,2.28,12.00
141.86,3642.20,22.39,1.16,2.28,13.00
152.00,3649.50,22.41,1.16,2.28,14.00
10.13,3335.40,21.81,1.13,2.29,0.00
20.27,3420.90,21.98,1.14,2.29,1.00
30.40,3470.30,22.08,1.14,2.29,2.00
40.53,3504.90,22.15,1.15,2.29,3.00
50.67,3531.40,22.20,1.15,2.29,4.00
60.80,3552.80,22.24,1.15,2.29,5.00
70.93,3570.70,22.28,1.15,2.29,6.00
81.06,3586.10,22.31,1.15,2.29,7.00
91.20,3599.50,22.34,1.15,2.29,8.00
101.33,3611.40,22.36,1.15,2.29,9.00
111.46,3622.00,22.38,1.15,2.29,10.00
121.60,3631.70,22.40,1.15,2.29,11.00
131.73,3640.50,22.42,1.15,2.29,12.00
141.86,3648.50,22.44,1.16,2.29,13.00
152.00,3656.00,22.45,1.16,2.29,14.00
10.13,3341.80,21.89,1.13,2.31,0.00
20.27,3428.40,22.06,1.14,2.31,1.00
30.40,3478.60,22.16,1.14,2.31,2.00
40.53,3513.90,22.23,1.14,2.31,3.00
50.67,3540.90,22.28,1.15,2.31,4.00
60.80,3562.70,22.33,1.15,2.31,5.00
70.93,3581.00,22.37,1.15,2.31,6.00
81.06,3596.70,22.40,1.15,2.31,7.00
91.20,3610.50,22.43,1.15,2.31,8.00
101.33,3622.60,22.45,1.15,2.31,9.00
111.46,3633.60,22.47,1.15,2.31,10.00
121.60,3643.40,22.49,1.15,2.31,11.00
131.73,3652.50,22.51,1.15,2.31,12.00
141.86,3660.80,22.53,1.15,2.31,13.00
152.00,3668.40,22.55,1.15,2.31,14.00
